Website URL,CITM,Manual,Match,Empty
expressjs.com,"['people & society', 'web browsers', 'text & instant messaging', 'computers & electronics', 'software', 'internet & telecom']","['computers & electronics', 'internet & telecom', 'web design & development', 'programming']",False,False
emploi.educarriere.ci,"['consumer electronics', 'people & society', ""women's clothing"", 'shopping', 'computers & electronics', 'family & relationships']","['legal', 'jobs & education', 'jobs', 'law & government', 'career resources & planning', 'legal services']",False,False
alottovip.co,"['computers & electronics', 'people & society', 'software', 'web browsers']","['online communities', 'finance', 'investing', 'stocks & bonds']",False,False
hudo.com,"['beauty & fitness', 'web browsers', 'computers & electronics', 'face & body care', 'software', 'hair care']","['arts & entertainment', 'sports', 'news']",False,False
direct.uber.com,"['consumer electronics', 'science', 'email', 'computers & electronics', 'ecology & environment', 'internet & telecom']","['travel & transportation', 'car rentals', 'business & industrial', 'automotive industry']",False,False
jedileri.ba,"['consumer electronics', ""women's clothing"", 'shopping', 'computers & electronics', 'wrestling', 'sports']","['legal', 'business & industrial', 'law & government', 'construction & maintenance', 'human resources', 'business operations', 'legal services']",False,False
www.superdry.in,"['text & instant messaging', 'track & field', 'shopping', 'internet & telecom', 'sports']","[""men's clothing"", 'beauty & fitness', ""women's clothing"", 'shopping', 'fashion & style']",False,False
trade.atlantiscex.com,"['consumer electronics', 'smart phones', 'computers & electronics', 'software', 'internet & telecom']","['currencies & foreign exchange', 'finance', 'investing', 'advertising & marketing', 'business & industrial', 'financial planning & management', 'sales']",False,False
lms.igdir.edu.tr,['business & industrial'],"['education', 'reference', 'colleges & universities', 'educational resources', 'jobs & education']",False,False
grupovenus.com,"['people & society', 'web browsers', 'shopping', 'computers & electronics', 'software']","['science', 'online communities', 'people & society']",False,False
juegos.loteria.cl,"['science', 'visual art & design', 'computers & electronics', 'painting', 'ecology & environment', 'software', 'arts & entertainment', 'graphics & animation software']","['home & garden', 'home & interior decor']",False,False
www.dvauction.com,"['consumer electronics', ""women's clothing"", 'shopping', 'computers & electronics', 'software']","['advertising & marketing', 'business & industrial', 'live sporting events', 'arts & entertainment', 'sales', 'online video']",False,False
demonssouls.wiki.fextralife.com,"['finance', 'investing', 'visual art & design', 'pets & animals', 'painting', 'arts & entertainment', 'stocks & bonds']","['computer & video games', 'people & society', 'games', 'strategy games', 'action & platform games', 'science fiction & fantasy']",False,False
career.indomaretgroup.com,"['beauty & fitness', 'food & drink', 'cooking & recipes', 'advertising & marketing', 'business & industrial', 'face & body care', 'healthy eating']","['finance', 'business & industrial', 'jobs & education', 'financial planning & management', 'jobs', 'retail trade', 'career resources & planning']",False,False
www.webcamjackers.com,"['baseball', 'sports', 'wrestling']","['arts & entertainment', 'entertainment industry', 'people & society', 'online video']",False,False
webcampus.fdu.edu,"['visual art & design', 'books & literature', 'home & garden', 'painting', 'arts & entertainment']","['education', 'reference', 'colleges & universities', 'educational resources', 'jobs & education']",False,False
www.tamilvu.org,"['consumer electronics', 'visual art & design', 'computers & electronics', 'painting', 'software', 'arts & entertainment']","['education', 'reference', 'colleges & universities', 'distance learning', 'jobs & education', 'educational resources']",False,False
dashboard.dittomusic.com,"['consumer electronics', 'email', 'computers & electronics', 'search engines', 'internet & telecom']","['arts & entertainment', 'concerts & music festivals', 'entertainment industry', 'music & audio']",False,False
apps-lb.rapidrad.com,"['finance', 'investing', 'business & industrial', 'weddings', 'retail trade', 'hobbies & leisure', 'stocks & bonds']","['finance', 'hospitality industry', 'insurance', 'web apps & online tools', 'business & industrial', 'health insurance', 'internet & telecom']",False,False
sadlierconnect.com,"['people & society', 'education', 'reference', 'jobs & education', 'family & relationships', 'early childhood education', 'al resources ']","['education', 'reference', 'colleges & universities', 'educational resources', 'jobs & education']",False,False
www.bhajandiary.com,"['music & audio', 'musical instruments', 'outdoors', 'games', 'arts & entertainment', 'hobbies & leisure']","['arts & entertainment', 'online communities', 'dating & personals', 'music & audio']",False,False
nova24.uz,"['volleyball', 'sports']","['sports', 'people & society', 'news', 'local news']",False,False
www.saamana.com,"['baseball', 'sports', 'cricket', 'american football']","['online communities', 'news', 'politics', 'local news']",False,False
imsis-djpu.dephub.go.id,"['travel & transportation', ""women's clothing"", 'shopping', 'vehicle shows', 'autos & vehicles']","['travel & transportation', 'business & industrial', 'air travel', 'law & government', 'aviation industry']",False,False
hentai18.net,"['comics', ""women's clothing"", 'shopping', 'books & literature', 'arts & entertainment']","['animated films', 'comics', 'entertainment industry', 'movies', 'arts & entertainment']",False,False
dembuon.vn,"['visual art & design', ""women's clothing"", 'shopping', 'pets & animals', 'painting', 'arts & entertainment']","['forum & chat providers', 'news', 'local news', 'social networks', 'online communities']",False,False
onba.zkb.ch,"['finance', 'investing', 'visual art & design', 'business & industrial', 'painting', 'retail trade', 'arts & entertainment', 'stocks & bonds']","['finance', 'investing', 'financial planning & management', 'credit cards', 'stocks & bonds']",False,False
codsaya.com,"['arts & entertainment', 'musical instruments', 'games', 'music & audio']","['card games', 'travel & transportation', 'tourist destinations', 'acting & theater', 'games', 'arts & entertainment']",False,False
put888a.com,"['arts & entertainment', 'comics', 'games']","['arts & entertainment', 'online communities', 'finance', 'investing']",False,False
chikubi.jp,"['consumer electronics', 'comics', 'shopping', 'computers & electronics', 'costumes', 'arts & entertainment']","['animated films', 'comics', 'entertainment industry', 'movies', 'arts & entertainment']",False,False
streamvid.net,"['arts & entertainment', 'computers & electronics', 'online video', 'software']","['arts & entertainment', 'entertainment industry', 'online video', 'tv shows & programs']",False,False
trans.info,"['travel & transportation', 'business & industrial', 'manufacturing', 'vehicle shows', 'autos & vehicles']","['news', 'travel & transportation', 'cargo trucks & trailers', 'long distance bus & rail', 'autos & vehicles']",False,False
www.hb-nippon.com,"['baseball', 'sports', 'equestrian']","['forum & chat providers', 'news', 'politics', 'local news', 'online communities']",False,False
www.livefans.jp,"['music & audio', 'musical instruments', 'dance', 'outdoors', 'arts & entertainment', 'hobbies & leisure']","['live comedy', 'acting & theater', 'arts & entertainment', 'online video', 'humor']",False,False
animelek.me,"['comics', ""women's clothing"", 'weddings', 'shopping', 'arts & entertainment', 'hobbies & leisure']","['animated films', 'tv shows & programs', 'movies', 'arts & entertainment', 'online video']",False,False
developer.android.com,"['smart phones', 'computers & electronics', 'consumer electronics', 'internet & telecom']","['smart phones', 'computers & electronics', 'operating systems', 'software', 'internet & telecom']",False,False
glitch.com,"['consumer electronics', 'travel & transportation', 'computers & electronics', 'vehicle shows', 'autos & vehicles']","['web design & development', 'programming', 'web apps & online tools', 'computers & electronics', 'internet & telecom']",False,False
www.myflfamilies.com,"['travel & transportation', ""women's clothing"", 'shopping', 'vehicle shows', 'autos & vehicles']","['people & society', 'news', 'local news', 'home & garden', 'family & relationships', 'home safety & security']",False,False
www.mdanderson.org,"['beauty & fitness', ""women's clothing"", 'weddings', 'shopping', 'fashion & style', 'hobbies & leisure']","['finance', 'insurance', 'science', 'jobs & education', 'health insurance']",False,False
fra.3hentai.net,"['text & instant messaging', 'wrestling', 'arts & entertainment', 'internet & telecom', 'sports', 'magic']","['animated films', 'comics', 'entertainment industry', 'movies', 'arts & entertainment']",False,False
www.codmon.com,"['computers & electronics', 'consumer electronics', 'people & society', 'software']","['education', 'colleges & universities', 'jobs & education', 'early childhood education']",False,False
www.softbank.jp,"['travel & transportation', 'pets', 'pets & animals', 'vehicle shows', 'autos & vehicles']","['accounting & auditing', 'currencies & foreign exchange', 'finance', 'investing', 'credit cards', 'tax preparation & planning']",False,False
aiotechnical.com,"['consumer electronics', 'smart phones', 'computers & electronics', 'wrestling', 'internet & telecom', 'sports']","['finance', 'insurance', 'acting & theater', 'computers & electronics', 'arts & entertainment']",False,False
www.iplusonego.com,"['consumer electronics', 'visual art & design', 'smart phones', 'computers & electronics', 'painting', 'arts & entertainment', 'internet & telecom']","['advertising & marketing', 'business & industrial', 'shopping', 'computers & electronics', 'sales']",False,False
www.bayareafastrak.org,"['travel & transportation', 'wrestling', 'vehicle shows', 'sports', 'autos & vehicles']","['travel & transportation', 'hotels & accommodations', 'finance', 'financial planning & management']",False,False
www.colgate.com,"['sedans', 'travel & transportation', ' motor vehicles (by type) ', 'vehicle shows', 'autos & vehicles']","['beauty & fitness', 'people & society', 'clean beauty', 'face & body care', 'bath & body products']",False,False
weltwoche.ch,"['consumer electronics', 'email', 'computers & electronics', 'search engines', 'internet & telecom']","['forum & chat providers', 'online communities', 'news', 'local news']",False,False
s.kosokubus.com,"['consumer electronics', 'travel & transportation', 'computers & electronics', 'vehicle shows', 'autos & vehicles']","['travel & transportation', 'hotels & accommodations', 'outdoors', 'long distance bus & rail', 'hobbies & leisure']",False,False
www.mittelbayerische.de,"['ice skating', 'sports']","['online communities', 'sports', 'news', 'local news']",False,False
www.khabarfoori.com,"['sports', 'tennis', 'games']","['arts & entertainment', 'sports', 'news', 'politics']",False,False
m.sportmaster.kz,"['consumer electronics', 'finance', 'credit cards', 'computers & electronics', 'games']","['shopping', 'sports', 'finance', 'financial planning & management']",False,False
brave.com,"['food & drink', 'cooking & recipes', 'visual art & design', 'painting', 'arts & entertainment', 'online video', 'healthy eating']","['web browsers', 'network security', 'computers & electronics', 'software', 'internet & telecom']",False,False
shop.globomoda.com,"['travel & transportation', ""women's clothing"", 'shopping', 'vehicle shows', 'autos & vehicles']","['beauty & fitness', 'travel & transportation', 'luggage & travel accessories', 'shopping', 'fashion & style']",False,False
www.bergzeit.de,"['visual art & design', 'painting', 'games', 'arts & entertainment', 'online communities']","['fashion & style', 'beauty & fitness', 'fitness', 'sports']",False,False
asiemodel.net,"['consumer electronics', 'visual art & design', 'computers & electronics', 'books & literature', 'painting', 'arts & entertainment']","['education', 'distance learning', 'jobs & education', 'vocational & continuing education', 'jobs', 'career resources & planning']",False,False
www.indiansexhub.com,"['cats', 'pets', 'pets & animals', 'arts & entertainment', 'online video']","['arts & entertainment', 'entertainment industry', 'online video', 'acting & theater']",False,False
sms-activate.org,"['computers & electronics', 'people & society', 'software', 'web browsers']","['isps', 'internet & telecom', 'phone service providers', 'text & instant messaging']",False,False
www.mondelezinternational.com,"['beauty & fitness', 'people & society', 'web browsers', 'computers & electronics', 'face & body care', 'software']","['food & drink', 'cooking & recipes', 'agriculture & forestry', 'business & industrial', 'healthy eating']",False,False
www.brocardi.it,"['people & society', ""women's clothing"", 'shopping', 'arts & entertainment', 'online video']","['legal', 'legal services', 'law & government', 'crime & justice']",False,False
www.dish.com,"['shopping', 'pets', 'pets & animals', ""women's clothing""]","['arts & entertainment', 'live sporting events', 'tv shows & programs']",False,False
www.adecco.fr,"['consumer electronics', ""women's clothing"", 'smart phones', 'computers & electronics', 'shopping', 'internet & telecom']","['news', 'internet & telecom', 'web apps & online tools', 'jobs & education', 'local news', 'jobs', 'career resources & planning']",False,False
www.tgcom24.mediaset.it,"['music & audio', 'travel & transportation', 'musical instruments', 'vehicle shows', 'arts & entertainment', 'autos & vehicles']","['news', 'politics', 'tv shows & programs', 'arts & entertainment', 'sports']",False,False
www.anandabazar.com,"['people & society', ""women's clothing"", 'shopping', 'wrestling', 'sports']","['forum & chat providers', 'news', 'politics', 'local news', 'online communities']",False,False
www.thetimes.co.uk,"['web browsers', 'science', 'outdoors', 'computers & electronics', 'ecology & environment', 'software', 'hobbies & leisure']","['arts & entertainment', 'sports', 'news', 'politics']",False,False
